stop_id,nom,commune,mode,lat,lon
IDFM:478998,Germaine Tailleferre,Ivry-sur-Seine,Tramway,48.80332022767745,2.377859246357863
IDFM:478991,La Briqueterie,Ivry-sur-Seine,Tramway,48.80732505068007,2.3748975641912837
IDFM:479004,Cimetière Parisien d'Ivry,Ivry-sur-Seine,Tramway,48.8126993138848,2.3706933301011173
IDFM:463149,Château de Vincennes,Vincennes,Metro,48.84466007577258,2.438792280541146
IDFM:22089,Bastille,Paris,Metro,48.85205429349772,2.368718961034089
IDFM:463160,Châtelet,Paris,Metro,48.85861595793795,2.3479221142329934
IDFM:22088,Argentine,Paris,Metro,48.875383816476266,2.290148271742768
IDFM:22100,Les Sablons,Neuilly-sur-Seine,Metro,48.88095135639308,2.272277675288795
IDFM:22085,Concorde,Paris,Metro,48.866112694397074,2.324531487080287
IDFM:22074,Saint-Paul (Le Marais),Paris,Metro,48.85518742160445,2.3608852562751967
IDFM:22076,Reuilly - Diderot,Paris,Metro,48.847130496202226,2.385158021366095
IDFM:22125,Blanche,Paris,Metro,48.88376635447715,2.3324843754343627
IDFM:463120,Anvers,Paris,Metro,48.882868568843925,2.3441548403302916
IDFM:22127,Barbès - Rochechouart,Paris,Metro,48.88377608955688,2.3506070793550977
IDFM:22119,La Chapelle,Paris,Metro,48.88436835263381,2.360390754503212
IDFM:463230,Philippe Auguste,Paris,Metro,48.858089428135756,2.390497596745289
IDFM:22122,Alexandre Dumas,Paris,Metro,48.856199097341126,2.3945914186721278
IDFM:463125,Avron,Paris,Metro,48.85161645805963,2.3980666384995177
IDFM:22124,Avron,Paris,Metro,48.85164854359716,2.3981875566593973
IDFM:22112,Père Lachaise,Paris,Metro,48.86248637862667,2.3876893260656895
IDFM:22120,Colonel Fabien,Paris,Metro,48.877695345805535,2.3705761028196575
IDFM:463252,Place de Clichy,Paris,Metro,48.88374519677981,2.3278987090661456
IDFM:22106,Villiers,Paris,Metro,48.88130644704797,2.3157165772440385
IDFM:22094,Charles de Gaulle - Étoile,Paris,Metro,48.87499457617108,2.2958117752357627
IDFM:463322,Victor Hugo,Paris,Metro,48.869926082410636,2.2858287659129797
IDFM:463122,Arts et Métiers,Paris,Metro,48.86561531899988,2.3566822734187167
IDFM:462989,Quatre Septembre,Paris,Metro,48.86965909738424,2.3363187355954875
IDFM:22032,Europe,Paris,Metro,48.878780759649736,2.3222946416498362
IDFM:463228,Pereire,Paris,Metro,48.884929864637186,2.297701123838181
IDFM:481073,Bailly,Bailly,Tramway,48.836822243484754,2.0747673057541647
IDFM:481068,Camp des Loges,Saint-Germain-en-Laye,Tramway,48.91398706552279,2.0816642323152843
IDFM:481071,L'Etang - Les Sablons,L'Étang-la-Ville,Tramway,48.872475520756296,2.069184858163414
IDFM:480932,Bailly,Bailly,Tramway,48.836822664977326,2.074821796743467
IDFM:486839,Hôpital Béclère,Clamart,Tramway,48.787207613990226,2.2530593522498457
IDFM:486847,Vallée aux Loups,Châtenay-Malabry,Tramway,48.766361162273036,2.254854314606935
IDFM:486820,Malabry,Châtenay-Malabry,Tramway,48.76939592802492,2.249694872613051
IDFM:486814,Le Hameau,Le Plessis-Robinson,Tramway,48.78254980857258,2.253248517857635
IDFM:486892,Chilly-Mazarin,Chilly-Mazarin,Tramway,48.700889681819284,2.307099110457053
IDFM:486898,Épinay-sur-Orge,Épinay-sur-Orge,Tramway,48.67059322879169,2.33524625399574
IDFM:486978,Parc du Château,Morsang-sur-Orge,Tramway,48.66779819873873,2.3553396144571788
IDFM:486894,Chilly-Mazarin,Chilly-Mazarin,Tramway,48.70087058852854,2.306909120836024
IDFM:486990,Champlan,Champlan,Tramway,48.70798350178886,2.2807479426245516
IDFM:486991,Coteaux de l'Orge,Viry-Châtillon,Tramway,48.66532818843938,2.362702965554391
IDFM:486980,Parc du Château,Morsang-sur-Orge,Tramway,48.66787037413049,2.3553794651902846
IDFM:10214,Parking Pr,Roissy-en-France,RailShuttle,49.00890484551127,2.5447987285131415
IDFM:462400,Antony,Antony,RailShuttle,48.75447836844632,2.300756402160653
IDFM:monomodalStopPlace:47950,Sermaise,Sermaise,RapidTransit,48.535687624993614,2.069088468619773
IDFM:monomodalStopPlace:411485,Malesherbes,Le Malesherbois,RapidTransit,48.293633291470464,2.4010364417288774
IDFM:monomodalStopPlace:45735,Vigneux-sur-Seine,Vigneux-sur-Seine,RapidTransit,48.70808932141768,2.413499342148242
IDFM:monomodalStopPlace:43225,Viry-Châtillon,Viry-Châtillon,RapidTransit,48.67590783936994,2.387021960013403
IDFM:monomodalStopPlace:45745,Évry - Val de Seine,Évry-Courcouronnes,RapidTransit,48.63439299320402,2.4523091616356028
IDFM:monomodalStopPlace:45763,Boissise-le-Roi,Boissise-le-Roi,RapidTransit,48.52985734002498,2.57179291425262
IDFM:monomodalStopPlace:47684,Montgeron - Crosne,Montgeron,RapidTransit,48.70871108366713,2.461377446437224
IDFM:monomodalStopPlace:58873,Brunoy,Brunoy,RapidTransit,48.698914475306886,2.5068503123113692
IDFM:monomodalStopPlace:411418,La Borne Blanche (Gare),Orry-la-Ville,RapidTransit,49.1261949449139,2.5069908684194053
IDFM:monomodalStopPlace:46568,Roissy-en-Brie,Roissy-en-Brie,RapidTransit,48.79563367624288,2.650530702348584
IDFM:monomodalStopPlace:58288,Les Yvris Noisy-le-Grand,Noisy-le-Grand,RapidTransit,48.82311348135466,2.5799804563719477
IDFM:monomodalStopPlace:47877,Rosny-sous-Bois,Rosny-sous-Bois,RapidTransit,48.87007067367753,2.4857557993217947
IDFM:monomodalStopPlace:487011,Nanterre-La-Folie,Nanterre,RapidTransit,48.897581324774116,2.226568794458685
IDFM:monomodalStopPlace:43044,Gagny,Gagny,RapidTransit,48.883728731604535,2.5254046016945138
IDFM:monomodalStopPlace:53783,Chatou - Croissy,Chatou,RapidTransit,48.88519702561107,2.1559376624708975
IDFM:monomodalStopPlace:43198,Saint-Germain-en-Laye,Saint-Germain-en-Laye,RapidTransit,48.898745300550765,2.095041912326374
IDFM:monomodalStopPlace:43104,Cergy le Haut,Cergy,RapidTransit,49.04823262405815,2.011579068023536
IDFM:monomodalStopPlace:43224,Vincennes,Vincennes,RapidTransit,48.84734683460296,2.4325836014183
IDFM:monomodalStopPlace:43101,Bry-sur-Marne,Bry-sur-Marne,RapidTransit,48.845137476280854,2.525670945020106
IDFM:monomodalStopPlace:43152,Lognes,Lognes,RapidTransit,48.839255049438655,2.633026934567703
IDFM:monomodalStopPlace:43207,Torcy,Torcy,RapidTransit,48.83971015133779,2.655169106193295
IDFM:monomodalStopPlace:58874,Bussy-Saint-Georges,Bussy-Saint-Georges,RapidTransit,48.83671337078136,2.7103828395096956
IDFM:monomodalStopPlace:43213,Val d'Europe,Chessy,RapidTransit,48.85484622851565,2.7724268942340276
IDFM:monomodalStopPlace:43186,Robinson,Sceaux,RapidTransit,48.78023982792202,2.281364769669608
IDFM:monomodalStopPlace:59206,Sceaux,Sceaux,RapidTransit,48.781307920937515,2.2979282159439305
IDFM:monomodalStopPlace:47046,La Hacquinière,Bures-sur-Yvette,RapidTransit,48.695299548452454,2.1516106103390045
IDFM:monomodalStopPlace:43086,Orsay - Ville,Orsay,RapidTransit,48.6975077019159,2.1808087044597166
IDFM:monomodalStopPlace:43124,Fontaine Michalon,Antony,RapidTransit,48.74304953436299,2.2959559818374013
IDFM:monomodalStopPlace:43067,Arcueil - Cachan,Cachan,RapidTransit,48.79869767228883,2.328093276131277
IDFM:monomodalStopPlace:473843,Cité Universitaire,Paris,RapidTransit,48.82150600684166,2.3388576809777035
IDFM:monomodalStopPlace:43833,Luxembourg,Paris,RapidTransit,48.84543177842458,2.3398088878203698
IDFM:monomodalStopPlace:43145,La Plaine Stade de France,Saint-Denis,RapidTransit,48.918076675621,2.362459916604931
IDFM:monomodalStopPlace:58793,Villepinte,Villepinte,RapidTransit,48.96256540760733,2.512783848981341
IDFM:494015,La Végétale,Limeil-Brévannes,CableWay,48.7425108649419,2.479369110935217
IDFM:494120,Villa Nova,Villeneuve-Saint-Georges,CableWay,48.734783812357044,2.464924141383512
IDFM:494115,Pointe du Lac,Créteil,CableWay,48.76884462509422,2.4648334957948683
IDFM:monomodalStopPlace:47939,La Norville - Saint-Germain-lès-Arpajon,La Norville,RapidTransit,48.59111916474817,2.266215906699314
IDFM:monomodalStopPlace:47925,Breuillet - Bruyères-le-Châtel,Breuillet,RapidTransit,48.57760979436327,2.1922487394356454
IDFM:monomodalStopPlace:47952,Saint-Chéron,Saint-Chéron,RapidTransit,48.550937745357075,2.1249767315730463
IDFM:monomodalStopPlace:46387,Ablon,Ablon-sur-Seine,RapidTransit,48.72578126379895,2.4198671478914595
IDFM:monomodalStopPlace:43202,Saint-Michel-sur-Orge,Saint-Michel-sur-Orge,RapidTransit,48.635615525211605,2.3068029676156123
IDFM:monomodalStopPlace:43098,Brétigny,Brétigny-sur-Orge,RapidTransit,48.60664906621052,2.3019573828860596
IDFM:monomodalStopPlace:47905,Bouray,Lardy,RapidTransit,48.53290340283496,2.2900778137432436
IDFM:monomodalStopPlace:43149,Lardy,Lardy,RapidTransit,48.520620553497956,2.255014220399748
IDFM:monomodalStopPlace:47115,Saint-Martin d'Étampes,Étampes,RapidTransit,48.42748765080825,2.145258831307165
IDFM:monomodalStopPlace:46375,Vitry-sur-Seine,Vitry-sur-Seine,RapidTransit,48.80028105254759,2.40269438767449
IDFM:monomodalStopPlace:43227,Les Ardoines,Vitry-sur-Seine,RapidTransit,48.78248922625494,2.409587305033223
IDFM:monomodalStopPlace:45761,Moulin Galant,Corbeil-Essonnes,RapidTransit,48.58688228073328,2.473444919964576
IDFM:monomodalStopPlace:47899,Mennecy,Mennecy,RapidTransit,48.57054850948166,2.4319348900260658
IDFM:monomodalStopPlace:43102,Buno - Gironville,Buno-Bonnevaux,RapidTransit,48.37149489082515,2.3872541083159335
IDFM:monomodalStopPlace:47948,Ris-Orangis,Ris-Orangis,RapidTransit,48.659057463386254,2.414997460834355
IDFM:monomodalStopPlace:47904,Villabé,Villabé,RapidTransit,48.592814943454,2.461533386360794
IDFM:monomodalStopPlace:45820,Le Plessis Chenet,Le Coudray-Montceaux,RapidTransit,48.57358727886637,2.4795222910084975
IDFM:monomodalStopPlace:47967,Vosves,Dammarie-les-Lys,RapidTransit,48.51507609100275,2.5994097381795305
IDFM:monomodalStopPlace:47924,Boussy-Saint-Antoine,Boussy-Saint-Antoine,RapidTransit,48.68087387117553,2.533195809235637
IDFM:monomodalStopPlace:45771,Combs-la-Ville - Quincy,Combs-la-Ville,RapidTransit,48.667819721800015,2.5476998823085504
IDFM:monomodalStopPlace:47665,Savigny-le-Temple - Nandy,Savigny-le-Temple,RapidTransit,48.59548998563483,2.5839359760934313
IDFM:monomodalStopPlace:45784,Le Mée,Le Mée-sur-Seine,RapidTransit,48.538746730738936,2.6255537322060074
IDFM:monomodalStopPlace:411421,Orry-la-Ville - Coye,Orry-la-Ville,RapidTransit,49.13840546145438,2.489862086302069
IDFM:monomodalStopPlace:462901,Ozoir-la-Ferrière,Ozoir-la-Ferrière,RapidTransit,48.77076716837013,2.690116190500944
IDFM:monomodalStopPlace:43074,Émerainville - Pontault-Combault,Émerainville,RapidTransit,48.80587944608123,2.618502939849115
IDFM:monomodalStopPlace:58267,Les Boullereaux Champigny,Champigny-sur-Marne,RapidTransit,48.82486398816196,2.511990843607618
IDFM:monomodalStopPlace:42356,Rosny Bois Perrier,Rosny-sous-Bois,RapidTransit,48.88258632328664,2.4811863962676766
IDFM:monomodalStopPlace:415093,Neuilly - Porte Maillot,Paris,RapidTransit,48.878347804048644,2.284217509613705
IDFM:monomodalStopPlace:47901,Le Raincy - Villemomble - Montfermeil,Villemomble,RapidTransit,48.8888544132907,2.5130610056844116
IDFM:monomodalStopPlace:53784,Le Vésinet - Centre,Le Vésinet,RapidTransit,48.89013759185911,2.1343339900216813
IDFM:monomodalStopPlace:58270,Champigny,Saint-Maur-des-Fossés,RapidTransit,48.80682309456137,2.510538043646919
IDFM:monomodalStopPlace:47879,Neuville - Université,Neuville-sur-Oise,RapidTransit,49.01374275942672,2.078348820578231
IDFM:monomodalStopPlace:43169,Nanterre - Préfecture,Nanterre,RapidTransit,48.895886773064674,2.2229862429913676
