snapshot_ts,system_id,n_seen,n_kept,n_reserved,status,note
2026-07-05T22:31:04,chessy,88,74,0,ok,
2026-07-05T22:31:04,serris,69,2,0,ok,
2026-07-05T22:31:04,torcy,224,145,0,ok,
2026-07-05T22:45:33,paris,1000,1000,0,ok,
2026-07-05T22:45:33,meaux,16,16,0,ok,
2026-07-05T22:45:33,chessy,88,74,0,ok,
2026-07-05T22:45:33,serris,69,2,0,ok,
2026-07-05T22:45:33,torcy,224,145,0,ok,
2026-07-05T22:57:35,paris,1000,1000,0,ok,
2026-07-05T22:57:35,meaux,16,16,0,ok,
2026-07-05T22:57:35,chessy,88,74,0,ok,
2026-07-05T22:57:35,serris,69,2,0,ok,
2026-07-05T22:57:35,torcy,224,145,0,ok,
2026-07-05T23:01:09,paris,1000,1000,0,ok,
2026-07-05T23:01:09,meaux,16,16,0,ok,
2026-07-05T23:01:09,chessy,88,74,0,ok,
2026-07-05T23:01:09,serris,69,2,0,ok,
2026-07-05T23:01:09,torcy,224,145,0,ok,
2026-07-05T23:15:32,paris,1000,1000,0,ok,
2026-07-05T23:15:32,meaux,16,16,0,ok,
2026-07-05T23:15:32,chessy,88,74,0,ok,
2026-07-05T23:15:32,serris,69,2,0,ok,
2026-07-05T23:15:32,torcy,224,145,0,ok,
2026-07-05T23:31:06,paris,1000,1000,0,ok,
2026-07-05T23:31:06,meaux,16,16,0,ok,
2026-07-05T23:31:06,chessy,88,74,0,ok,
2026-07-05T23:31:06,serris,69,2,0,ok,
2026-07-05T23:31:06,torcy,224,145,0,ok,
2026-07-05T23:45:34,paris,1000,1000,0,ok,
2026-07-05T23:45:34,meaux,16,16,0,ok,
2026-07-05T23:45:34,chessy,88,74,0,ok,
2026-07-05T23:45:34,serris,69,2,0,ok,
2026-07-05T23:45:34,torcy,224,145,0,ok,
2026-07-06T00:01:11,paris,1000,1000,0,ok,
2026-07-06T00:01:11,meaux,16,16,0,ok,
2026-07-06T00:01:11,chessy,88,74,0,ok,
2026-07-06T00:01:11,serris,69,2,0,ok,
2026-07-06T00:01:11,torcy,224,145,0,ok,
2026-07-06T00:08:10,paris,1000,1000,0,ok,
2026-07-06T00:08:10,meaux,16,16,0,ok,
2026-07-06T00:08:10,chessy,88,74,0,ok,
2026-07-06T00:08:10,serris,69,2,0,ok,
2026-07-06T00:08:10,torcy,224,145,0,ok,
2026-07-06T00:15:33,paris,1000,1000,0,ok,
2026-07-06T00:15:33,meaux,16,16,0,ok,
2026-07-06T00:15:33,chessy,88,74,0,ok,
2026-07-06T00:15:33,serris,69,2,0,ok,
2026-07-06T00:15:33,torcy,224,145,0,ok,
2026-07-06T00:31:03,paris,1000,999,0,ok,
2026-07-06T00:31:03,meaux,16,16,0,ok,
2026-07-06T00:31:03,chessy,88,74,0,ok,
